,ttext,date,isretweet,retweetcount,favoritecount,score,product,state,country,duplicate,,
51,"RT @aajtak:       ,          -   ",25/07/18 18:37,TRUE,11,0,0,Education,Chhattisgarh,India,TRUE,,Neutral
52,"      ,          -   ",25/07/18 18:28,FALSE,11,120,0,Education,Chhattisgarh,India,FALSE,,Neutral
53,"        ,            ",25/07/18 10:31,FALSE,0,3,0,Education,Chhattisgarh,India,FALSE,,Neutral
54,"            ,       ...  ",23/07/18 9:58,FALSE,0,0,0,Education,Chhattisgarh,India,FALSE,,Neutral
55,@narendramodi @JPNadda @drramansingh All the private medical college declared zero year for this year in Chhattisga  ,23/07/18 4:51,FALSE,0,0,0,Education,Chhattisgarh,India,FALSE,,Neutral
56,"ChhattisgarhBachao Raman Singh Failed to generate Jobs in 15Yrs for College Passouts of Chhattisgarh, still Youths  ",23/07/18 4:41,FALSE,0,1,-1,Education,Chhattisgarh,India,FALSE,,Negative
57,"           ",22/07/18 13:26,FALSE,0,0,0,Education,Chhattisgarh,India,FALSE,,Neutral
58,@JPNadda Ban of all private medical college in Chhattisgarh is unjustified for the future of students &amp; it will nev  ,22/07/18 5:55,FALSE,0,0,-1,Education,Chhattisgarh,India,FALSE,,Negative
59,@drramansingh Ban of all private medical college in Chhattisgarh is unjustified for the future of students &amp; it wil  ,22/07/18 5:51,FALSE,0,0,-1,Education,Chhattisgarh,India,FALSE,,Negative
60,@narendramodi Ban of all private medical college in Chhattisgarh is unjustified for the future of students &amp; it wil  ,22/07/18 5:06,FALSE,0,0,-1,Education,Chhattisgarh,India,FALSE,,Negative
61,"    ,     :  ",21/07/18 10:25,FALSE,0,0,0,Education,Chhattisgarh,India,FALSE,,Neutral
62,          :  ,21/07/18 8:58,FALSE,0,0,0,Education,Chhattisgarh,India,FALSE,,Neutral
63,"Friends, on July 20, that all the Chhattisgarh stars together at one stage at 5 pm from the Smart Cinema Awards 201  ",19/07/18 23:33,FALSE,0,0,2,Education,Chhattisgarh,India,FALSE,,Positive
64,"        flower flowers yellow rose govt medical college jagdalpur bastar  ",19/07/18 15:41,FALSE,0,1,0,Education,Chhattisgarh,India,FALSE,,Neutral
